group_trees.browsePathName3,值2,parent_asin,求和项:review_id 的计数
Entertainment events 娱乐活动,,,1191
Celebration and Ceremony 庆祝和仪式,,,653
Sports 运动相关,,,614
健身,,,505
Holiday / Festival 节假日,,,394
#N/A,,,325
锻炼/做Gym,,,302
,Gym,,302
,,B083W6D4RJ,118
,,B083B5PY27,52
,,B07WFYB73C,50
,,B08SWHB99S,42
,,B085C2GZ4S,40
To Work 上下班,,,240
,meetings,,54
,,B0CQCJNZ5W,2
,,B0CM3BZK9C,2
,,B0CFB95RT1,2
,,B07KWDH8HD,2
,,B0D2J68YRH,1
,,B0CSXC6C23,1
,,B0CRQFK9PS,1
,,B0CQJRQLK9,1
,,B0CQ8NDXWR,1
,,B0CPVP8751,1
,,B0CP79SCTH,1
,,B0CP64WB7V,1
,,B0CNLNKFQF,1
,,B0CM8YRLDW,1
,,B0CL51J3V5,1
,,B0CL43STB8,1
,,B0CJJLGN8Y,1
,,B0CH82JMSP,1
,,B0CGV4KZBK,1
,,B0CGHF44KQ,1
,,B0CFRHJH1V,1
,,B0CFFMNGZP,1
,,B0CDWSWBMS,1
,,B0CD9W296S,1
,,B0CD7TTSTQ,1
,,B0CC8HCJLD,1
,,B0CB6DGMR2,1
,,B0C7CT3J5W,1
,,B0C6QTQ3F8,1
,,B0C1Z61GLQ,1
,,B0BRXBNKYC,1
,,B0BPXLNGC9,1
,,B0BMTVDF12,1
,,B0BMT9D59Y,1
,,B0BMG23497,1
,,B0BM474TKS,1
,,B0BM45RQJS,1
,,B0BL73SJN4,1
,,B0BFCWW92T,1
,,B0BD6D1SMS,1
,,B0B7WDCGXR,1
,,B0B56D69WC,1
,,B09L1LMXWF,1
,,B09FFMMTKY,1
,,B09DPC7J69,1
,,B09CPYXX1W,1
,,B08SWNPH4G,1
,,B085KWNF2B,1
,,B07FBC2DNW,1
,,B076JBS5JL,1
,To Work,,49
,,B085C2GZ4S,12
,,B083W6D4RJ,9
,,B07WFYB73C,9
,,B083B5PY27,7
,,B07WX74VX5,6
,,B07KW77JZ3,6
,Charity,,27
,,B094SXWHDV,2
,,B0CPW27NT1,1
,,B0CM8YRLDW,1
,,B0CLP3732R,1
,,B0CJJPYWSJ,1
,,B0C8MV47HV,1
,,B0C4XJG5VF,1
,,B0BZDJBNXF,1
,,B0BTXW7ZXG,1
,,B0BTHXCZ71,1
,,B0BQJ5Y3QJ,1
,,B0BJZQNYG7,1
,,B0B5DXD7YX,1
,,B0B4DN72SP,1
,,B09V16Q97R,1
,,B09SLXDCJN,1
,,B083W6D4RJ,1
,,B081B77YGJ,1
,,B07W3LM12B,1
,,B07Q826VGT,1
,,B07KWDH8HD,1
,,B07H9VZ5GJ,1
,,B07FRCKNQ3,1
,,B07849VCBQ,1
,,B076J7WWH6,1
,,B01MTMPLQS,1
,Presentation,,22
,,B087WP31H9,2
,,B07JG4GJD6,2
,,B0CYC9R8B2,1
,,B0CTZRR755,1
,,B0CTCY1WTR,1
,,B0CLV66982,1
,,B0CKZGDQDN,1
,,B0CHJSDQHF,1
,,B0C9TX981L,1
,,B0C8MV47HV,1
,,B0BKSXD5Z2,1
,,B0BDM7CN8Z,1
,,B0BDLZYYR7,1
,,B0B3JKC7XH,1
,,B09V5F77BL,1
,,B09DK3BFPY,1
,,B07Z35SRGZ,1
,,B07KWDH8HD,1
,,B07849VCBQ,1
,,B076J7WWH6,1
,Interview,,18
,,B0CTPTKVF2,1
,,B0CRDFQKMF,1
,,B0CPKQLSDN,1
,,B0CNLTM2LR,1
,,B0CH3F8Y37,1
,,B0CD2RYBXG,1
,,B0CB1M7787,1
,,B0C5WS2T12,1
,,B0C5PSVJZP,1
,,B0B7G91V6K,1
,,B09PB4YJN8,1
,,B09L1LMXWF,1
,,B09FFMMTKY,1
,,B097K7X4LF,1
,,B07Z35SRGZ,1
,,B07WKV771D,1
,,B07V9FZVP8,1
,,B06XWRBPTX,1
,corporate,,13
,,B0CSWLSVCT,1
,,B0CRVC3KK7,1
,,B0CPSTVJFT,1
,,B0CMHLRQD5,1
,,B0CL43STB8,1
,,B0CKZ23MHJ,1
,,B0BXWKHZ55,1
,,B0BD45BDRG,1
,,B09CPYXX1W,1
,,B089K5TXG2,1
,,B07YDJKWB5,1
,,B07Q826VGT,1
,,B07FCZS62P,1
,Work from Home,,10
,,B0CRB15X5T,2
,,B0CQLKLD7K,1
