cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
gym shorts men zipper pockets,,,,自然搜索词,0,1,B09XQVCZ8B,"1,554,130",915,31,3.42%,"19,874",453,1,0,"2,233",0.4,24,21.70%,4.20%,$1.38 ,$1.14 - $1.79,B08LTBLD95,10.00%,4.20%,B08LT9MJM2,6.70%,0.00%,B08LTB9SZW,5.00%,0.00%,"B08LTBLD95,B09P3WHTC8,B0D2TJ12XX,B09PYVH5XT,B0CJ1D8N79,B0CSN9NG6Y,B09XQVCZ8B,B0D2S385WC,B08TZYQTLR,B0BX7KWDWY","Zipper Pocket, Zipper, gym, Shorts"
gym shorts men with pocket,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Shorts, Pocket, gym"
gym shorts men with liner,带衬里的男士运动短裤,,,SP广告词,0,1,B09P3T8X61,"1,162,637",980,33,3.42%,"28,052",489,1,0,"1,465",0.7,4,22.20%,0.00%,$1.37 ,$1.12 - $1.64,B09WXSHZZK,9.50%,0.00%,B0D2RLHHJ9,7.90%,0.00%,B08R7GNZTD,4.80%,0.00%,"B09WXSHZZK,B0BNW5DWR1,B0D2RLHHJ9,B08XM7421N,B08346K3ZS,B07XLTV4TR,B0D1QWYNH7,B0CPDRDRLJ,B09VBRB3KL,B0BWQD4FF9","Shorts, gym"
gym shorts men under armour,男士Under Armour运动短裤,,,自然搜索词,0,3,B01AK7Y102/B09XQVCZ8B/B0C4GS3QJD,"1,015,696","1,263",37,2.94%,"35,745",576,1,0,436,2.9,4,16.40%,2.00%,$1.37 ,$1.02 - $1.71,B0728BNL9X,5.80%,0.00%,B071P2P4JB,5.50%,2.00%,B0714D4Q4B,5.10%,0.00%,"B0942X45Y3,B082BGKDV1,B0942R17Z5,B07CZCCGY8,B08875T7XG,B0C12XJ159,B089MQNZ41,B09X6J9T51,B093LV4DT1,B0872MJ9P8","Shorts, gym, Under Armour"
gym shorts men nike,耐克男士运动短裤,,,自然搜索词,0,1,B09XQVCZ8B,"1,121,770","1,447",39,2.74%,"33,999",641,1,0,"1,356",1.1,5,17.60%,12.20%,$1.37 ,$1.17 - $1.71,B087M3MJ1L,7.30%,4.90%,B07C93ZRT9,6.90%,0.00%,B07C95LZK2,3.50%,7.30%,"B087M3MJ1L,B01AK7XJS2,B071WL718C,B0B6JTW2F5,B07CZC664D,B0723CZCRJ,B000JC0YJQ,B07NJNRHL5,B0BPB5JVT4,B09PG3R54G","Shorts, NIKE, gym"
gym shorts men long,,,,自然搜索词,0,1,B01AK7Y102,,,,,,,,,0,,0,,,,-,,,,,,,,,,,"Long, Shorts, gym"
gym shorts men big and tall,,,,自然搜索词,0,2,B00AKSCXEI/B08JGBB9N1,,,,,,,,,"8,421",,4,,,,-,,,,,,,,,,,"big, Big And Tall, Tall, gym, Shorts"
gym shorts men adidas,,,,自然搜索词,0,1,B09P3T8X61,,,,,,,,,946,,0,,,,-,,,,,,,,,,,"Adidas, Shorts, gym"
gym shortd,,,,自然搜索词,0,2,B08JGBB9N1/B09P3T8X61,,,,,,,,,"11,569",,20,,,,-,,,,,,,,,,,"gym, Short"
gym short with pocket,,,,自然搜索词,0,2,B00AKSCXEI/B08JGBB9N1,,,,,,,,,0,,25,,,,-,,,,,,,,,,,"Pocket, gym, Short"
