cst,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN,matched_text
hawaiian shirt for men,衬衫,,18.92%,自然搜索词/SP广告词,"152,959 ",5.0,B08Q7XM29N/B09Y59M7RZ/B08Q7Q6J2H/B0CP1S3J3H/B09Y5BD38Q,"2,343","260,112 ","1,274 ",0.49%,"7,249,400 ","118,486 ",30 ,69.0,"6,724 ",38.7,570 ,8.6%,1.0%,$1.03,$0.77 - $1.29,B08TBLDQGT,4.5%,0.5%,B0C1BCTNW9,2.2%,0.2%,B071GMQW4W,2.0%,0.3%,"B09LVGHNYH,B0CY1X7XPY,B0D4MHWQB6,B0CSFN4T82,B08SQ6HHSG,B08Q7XM29N,B0CT2WNQ16,B0CSK6QLSF,B0CP1TNYTX,B07JH6WZRC","Shirt, hawaiian"
mens hawaiian shirts short sleeve,男士夏威夷衬衫短袖,,6.46%,自然搜索词,"52,192 ",5.0,B0C8P4YGT9/B0CP1S3J3H/B08Q7XM29N/B09Y59M7RZ/B08Q7Q6J2H,"19,583","71,758 ",466 ,0.65%,"1,506,483 ","35,777 ",11 ,13.0,"5,463 ",13.1,269 ,6.9%,1.5%,,-,B071GMQW4W,2.7%,0.6%,B0BL145735,2.6%,0.6%,B0CSFN4T82,1.7%,0.3%,"B0CT2TZ2G5,B093RZQLVX,B09LVJKN4T,B0CSFN4T82,B0CRQJDHBB,B0CSJZ884L,B0CSJV4G6M,B08Q7Q6J2H,B0CN6BZRTJ,B0CP1SW4CB","hawaiian, Short, Sleeve, Short Sleeve"
hawaiian shirt,哈瓦那衬衫,,5.69%,自然搜索词/SP广告词,"46,007 ",5.0,B08Q7XM29N/B09Y59M7RZ/B08Q7Q6J2H/B0CP1S3J3H/B09Y5BD38Q,"15,738","80,429 ",305 ,0.38%,"1,740,315 ","39,444 ",8 ,183.0,"14,210 ",5.7,318 ,10.0%,2.5%,$0.87,$0.64 - $1.09,B0BX9K5P5R,5.7%,2.0%,B0C1BCTNW9,2.6%,0.3%,B071GMQW4W,1.7%,0.3%,"B0CP1TNYTX,B0CY1WXKB2,B08SQ6HHSG,B09LVGHNYH,B07NSGJWR2,B08Q7XM29N,B0CPRWX6WZ,B08Q7W62TG,B07JHQ8TGZ,B0CN6BZRTJ","Shirt, hawaiian"
hawaiian shirts for men,衬衫,,4.45%,自然搜索词/SP广告词,"35,974 ",5.0,B09Y5BD38Q/B08Q7XM29N/B09Y59M7RZ/B08Q7Q6J2H/B0CP1S3J3H,"32,003","50,238 ",311 ,0.62%,"1,326,002 ","21,839 ",8 ,27.0,"6,746 ",7.5,181 ,7.8%,1.4%,$1.03,$0.77 - $1.29,B08TBLDQGT,3.8%,0.6%,B0C1BCTNW9,2.2%,0.3%,B0BL137H3D,1.9%,0.6%,"B0BL145735,B09LVGHNYH,B0BL137H3D,B0CP1TNYTX,B08SQ6HHSG,B083P314GB,B09LVJKN4T,B08SQ39PY5,B08Q7XM29N,B0CSFN4T82",hawaiian
short sleeve button down men,短袖系扣男士,,3.44%,自然搜索词,"27,803 ",2.0,B0CP1S3J3H/B0BKCBK6DM,"10,739","115,268 ","15,169 ",13.16%,"3,185,922 ","46,152 ",345 ,2.0,"10,166 ",11.3,148 ,9.0%,1.2%,$1.08,$0.81 - $1.35,B08P7BWLJQ,4.5%,0.0%,B0BVB6LQPT,2.7%,0.7%,B0BVB7THLY,1.9%,0.5%,"B0BVB6LQPT,B083P3QPH6,B0CQLNXRQM,B000PHI5LE,B08P67DW1V,B07JJJ6GR7,B0BNL5H6Y7,B0CMV4722V,B079Z12CRG,B0CP1MWK12","Button, Short, Sleeve, Short Sleeve"
linen shirts for men,男士亚麻衬衫,,3.28%,SP广告词,"26,543 ",3.0,B0BKCBK6DM/B0BKDX8CCV/B08Q7Q6J2H,"7,487","135,765 ","19,645 ",14.47%,"2,785,647 ","58,781 ",446 ,26.0,"5,740 ",23.7,383 ,7.7%,1.8%,$1.09,$0.81 - $1.36,B0BVB6LQPT,3.5%,0.9%,B0BV241H3F,2.3%,0.4%,B0BVB7THLY,1.9%,0.5%,"B0BV241H3F,B0BVB6LQPT,B08NSS8W59,B08CGQ1Q6F,B0CWKTJHGV,B083K7W772,B0CMH4P6NP,B0BKFXG8SG,B0CLL2CCJR,B09B7LS4WP",Linen
mens button down short sleeve shirt,男士纽扣短袖衬衫,,2.64%,自然搜索词/品牌广告词,"21,374 ",2.0,B0BKCBK6DM/B0CP1S3J3H,"11,807","112,108 ","15,751 ",14.06%,"3,082,063 ","46,500 ",358 ,3.0,"10,576 ",10.6,102 ,10.0%,0.9%,,-,B08P7BS6SV,4.8%,0.0%,B0BVB6LQPT,3.2%,0.6%,B0BVB7THLY,2.0%,0.3%,"B0BVB7THLY,B0BVB6LQPT,B0CQLRTRVM,B0CJTZLCQ2,B0CW3HZYX1,B07JJJ6GR7,B0CSD62HF4,B0BNL5H6Y7,B07JHQ8TJX,B09H35F95W","Shirt, Short, Button, Short Sleeve, Sleeve"
coofandy shirts for men,男士衬衫,,2.18%,自然搜索词,"17,594 ",3.0,B0BKDX8CCV/B0CP56Q61G/B08Q7Q6J2H,"18,703","75,641 ","11,618 ",15.37%,"1,603,262 ","33,306 ",264 ,0.0,"2,016 ",37.5,180 ,7.8%,1.7%,$1.17,$0.88 - $1.48,B0BV241H3F,3.7%,1.0%,B0BV257YG8,2.2%,0.5%,B0BV27DL6Y,2.0%,0.3%,"B0BV241H3F,B0CQLRCBLS,B0CJTZLBSB,B08CGQ1Q6F,B0CP1LXT4X,B08NSS8W59,B0CL6TQPCP,B0CMH433G7,B093RZQLVX,B0CSPQJZ9X",Coofandy
button down shirt men,男士纽扣衬衫,,2.06%,HR推荐词,"16,677 ",3.0,B0BKCBK6DM/B014MWW68U/B0CP1S3J3H,"13,990","87,511 ","5,985 ",6.84%,"2,184,900 ","40,558 ",136 ,0.0,"15,279 ",5.7,237 ,5.5%,0.5%,$1.12,$0.92 - $1.40,B08P7BS6SV,2.1%,0.0%,B0BV241H3F,2.0%,0.4%,B07JX84RQ7,1.4%,0.1%,"B0BVB7THLY,B0BV241H3F,B083P3QPH6,B0775CSKGW,B0CW3HZYX1,B07JX84RQ7,B07756DQ8K,B09H35F95W,B0BNL5H6Y7,B0CJTYBY2N","Button, Shirt, Button Down"
shirts for men,男士衬衣,,1.43%,自然搜索词/SP广告词,"11,565 ",1.0,B0BKCBK6DM,"3,597","194,578 ",525 ,0.27%,"4,383,302 ","87,642 ",12 ,8.0,"64,623 ",3.0,296 ,6.8%,1.2%,$1.37,$1.14 - $1.58,B0BV241H3F,2.6%,0.5%,B0BZDLXKTS,2.1%,0.0%,B077ZJXCTS,2.1%,0.7%,"B077ZJXCTS,B0BV241H3F,B08F2P8CS9,B0016MQH4E,B093136ND2,B07XVXSY7M,B01GH5GSLG,B07DRRH8PP,B0785VV446,B0787P86ZZ",Shirt
