Total,Seasons,,,,
Richard Petty,"1964, 1967, 1971, 1972, 1974, 1975, 1979",https://en.wikipedia.org/wiki/Richard_Petty,https://en.wikipedia.org/wiki/1964_in_NASCAR,https://en.wikipedia.org/wiki/1967_in_NASCAR,https://en.wikipedia.org/wiki/1971_in_NASCAR
Dale Earnhardt,"1980, 1986, 1987, 1990, 1991, 1993, 1994",https://en.wikipedia.org/wiki/Dale_Earnhardt,https://en.wikipedia.org/wiki/1980_in_NASCAR,https://en.wikipedia.org/wiki/1986_in_NASCAR,https://en.wikipedia.org/wiki/1987_in_NASCAR
Jimmie Johnson,"2006, 2007, 2008, 2009, 2010, 2013, 2016",https://en.wikipedia.org/wiki/Jimmie_Johnson,https://en.wikipedia.org/wiki/2006_in_NASCAR,https://en.wikipedia.org/wiki/2007_in_NASCAR,https://en.wikipedia.org/wiki/2008_in_NASCAR
Jeff Gordon,"1995, 1997, 1998, 2001",https://en.wikipedia.org/wiki/Jeff_Gordon,https://en.wikipedia.org/wiki/1995_in_NASCAR,https://en.wikipedia.org/wiki/1997_in_NASCAR,https://en.wikipedia.org/wiki/1998_in_NASCAR
Lee Petty,"1954, 1958, 1959",https://en.wikipedia.org/wiki/Lee_Petty,https://en.wikipedia.org/wiki/1954_in_NASCAR,https://en.wikipedia.org/wiki/1958_in_NASCAR,https://en.wikipedia.org/wiki/1959_in_NASCAR
David Pearson,"1966, 1968, 1969",https://en.wikipedia.org/wiki/David_Pearson_(racing_driver),https://en.wikipedia.org/wiki/1966_in_NASCAR,https://en.wikipedia.org/wiki/1968_in_NASCAR,https://en.wikipedia.org/wiki/1969_in_NASCAR
Cale Yarborough,"1976, 1977, 1978",https://en.wikipedia.org/wiki/Cale_Yarborough,https://en.wikipedia.org/wiki/1976_in_NASCAR,https://en.wikipedia.org/wiki/1977_in_NASCAR,https://en.wikipedia.org/wiki/1978_in_NASCAR
Darrell Waltrip,"1981, 1982, 1985",https://en.wikipedia.org/wiki/Darrell_Waltrip,https://en.wikipedia.org/wiki/1981_in_NASCAR,https://en.wikipedia.org/wiki/1982_in_NASCAR,https://en.wikipedia.org/wiki/1985_in_NASCAR
Tony Stewart,"2002, 2005, 2011",https://en.wikipedia.org/wiki/Tony_Stewart,https://en.wikipedia.org/wiki/2002_in_NASCAR,https://en.wikipedia.org/wiki/2005_in_NASCAR,https://en.wikipedia.org/wiki/2011_in_NASCAR
Joey Logano,"2018, 2022, 2024",https://en.wikipedia.org/wiki/Joey_Logano,https://en.wikipedia.org/wiki/2018_in_NASCAR,https://en.wikipedia.org/wiki/2022_in_NASCAR,https://en.wikipedia.org/wiki/2024_in_NASCAR
